grievance_text,predicted_probability,severity
please check wifi down since morning yaar,0.99999845,High
speed is low not resolved yet kya masla hai,1.93E-06,Low
please check still unstable connection kya ho raha hai,2.52E-06,Low
speed is low again kya masla hai,1.92E-06,Low
wifi down pls fix since long time bhai,0.99999857,High
disconnecting again and again what is this since long time kya ho raha hai,1.90E-06,Low
wifi gone not resolved yet yaar,0.99999857,High
speed is low not resolved yet since long time yaar,1.92E-06,Low
still speed is low bhai,1.98E-06,Low
delay in response from last night since long time bhai,1.92E-06,Low
please check keeps dropping since morning yaar,2.01E-06,Low
data loss trouble pls fix bhai,1.92E-06,Low
wifi very slow what is this since long time,2.78E-06,Low
cannot access sites pls fix,1.91E-06,Low
please check internet not working from last night,0.99999845,High
please check ping too high what is this kya ho raha hai,2.00E-06,Low
please check router problem what is this kya masla hai,2.00E-06,Low
ping too high since long time bhai,1.91E-06,Low
please check having internet not running continuously kya masla hai,0.99999845,High
facing unstable connection since long time bhai,2.06E-06,Low
keeps dropping pls fix since long time bhai,1.91E-06,Low
router problem again since long time kya masla hai,1.90E-06,Low
delay in response what is this since long time,1.92E-06,Low
wifi down what is this,0.99999857,High
unstable connection from last night since long time kya ho raha hai,1.99E-06,Low
cannot access sites since long time yaar,1.91E-06,Low
facing wifi gone,0.99999857,High
wifi gone since morning bhai,0.99999857,High
net slow pls fix kya ho raha hai,2.11E-06,Low
packet loss happening pls fix since long time,1.91E-06,Low
wifi down again kya ho raha hai,0.99999857,High
having buffering issue continuously yaar,1.97E-06,Low
net slow again kya masla hai,2.04E-06,Low
buffering issue again kya masla hai,1.91E-06,Low
please check having wifi not working continuously bhai,0.99999845,High
facing wifi gone,0.99999857,High
lag problem pls fix bhai,1.90E-06,Low
data loss trouble since long time yaar,1.92E-06,Low
please check disconnecting again and again,2.01E-06,Low
still net slow kya ho raha hai,2.15E-06,Low
please check lag problem kya ho raha hai,2.01E-06,Low
dns not resolving again yaar,1.94E-06,Low
facing net slow,2.10E-06,Low
buffering issue again since long time yaar,1.90E-06,Low
facing router problem,1.97E-06,Low
internet very too slow pls fix kya masla hai,2.24E-06,Low
disconnecting again and again since long time,1.90E-06,Low
please check lag issue,2.01E-06,Low
having data loss issue continuously kya ho raha hai,1.97E-06,Low
please check still packet loss happening kya masla hai,2.06E-06,Low
connection gone from last night bhai,0.99999857,High
packet loss happening since long time bhai,1.91E-06,Low
please check cannot access sites again kya ho raha hai,2.01E-06,Low
disconnecting again and again from last night kya masla hai,1.90E-06,Low
keeps dropping pls fix bhai,1.91E-06,Low
facing packet loss happening kya masla hai,1.96E-06,Low
router not working since long time kya ho raha hai,1.96E-06,Low
router problem again,1.92E-06,Low
router not running not resolved yet,1.93E-06,Low
having keeps dropping continuously,1.97E-06,Low
wifi not working again kya ho raha hai,0.99999857,High
buffering problem not resolved yet yaar,1.91E-06,Low
please check no connection what is this,0.99999845,High
ping too high not resolved yet since long time yaar,1.92E-06,Low
packet loss happening what is this since long time yaar,1.92E-06,Low
cannot access sites again since long time yaar,1.91E-06,Low
net slow what is this kya masla hai,2.04E-06,Low
no connection pls fix,0.99999857,High
packet loss happening since morning,1.92E-06,Low
internet not functioning not resolved yet since long time kya masla hai,0.99999857,High
please check disconnecting again and again kya ho raha hai,2.01E-06,Low
please check wifi down what is this bhai,0.99999845,High
connection not working since long time bhai,0.99999857,High
wifi down not resolved yet yaar,0.99999857,High
net not working pls fix since long time,0.99999845,High
dns not resolving what is this kya ho raha hai,1.94E-06,Low
packet loss happening again,1.92E-06,Low
please check intrnet not working since morning,0.99999845,High
net slow yaar,2.08E-06,Low
internet not running from last night bhai,0.99999857,High
keeps dropping from last night since long time,1.91E-06,Low
still router problem,1.99E-06,Low
wifi gone pls fix yaar,0.99999857,High
facing dns not resolving since long time kya ho raha hai,1.99E-06,Low
having net very slow continuously since long time,2.01E-06,Low
router not working pls fix yaar,2.00E-06,Low
keeps dropping,1.94E-06,Low
connection gone from last night bhai,0.99999857,High
data loss problem since morning bhai,1.93E-06,Low
keeps dropping what is this,1.91E-06,Low
disconnecting again and again again since long time,1.89E-06,Low
facing keeps dropping yaar,1.97E-06,Low
lag problem since morning kya ho raha hai,1.90E-06,Low
still disconnecting again and again bhai,1.96E-06,Low
router not functioning since morning since long time bhai,1.94E-06,Low
internet not working what is this since long time bhai,0.99999857,High
facing connection gone since long time,0.99999845,High
please check data loss issue pls fix,2.00E-06,Low
please check facing buffering trouble bhai,2.09E-06,Low
please check speed is low since morning,2.02E-06,Low
disconnecting again and again not resolved yet since long time bhai,1.90E-06,Low
lag trouble not resolved yet yaar,1.91E-06,Low
please check wifi very slow not resolved yet yaar,3.93E-06,Low
net slow since morning since long time,2.04E-06,Low
net very slow not resolved yet,2.01E-06,Low
having keeps dropping continuously since long time bhai,1.96E-06,Low
connection very slow since morning since long time bhai,2.12E-06,Low
please check net gone since morning yaar,0.99999845,High
having data loss trouble continuously yaar,1.97E-06,Low
still speed is low,1.98E-06,Low
please check having router not functioning continuously yaar,2.24E-06,Low
please check delay in response,2.01E-06,Low
please check ping too high not resolved yet bhai,2.00E-06,Low
unstable connection since morning kya ho raha hai,2.01E-06,Low
net not working since morning since long time kya ho raha hai,0.99999845,High
please check disconnecting again and again pls fix,2.01E-06,Low
having data loss issue continuously since long time yaar,1.97E-06,Low
still connection not working since long time,0.99999845,High
wifi down what is this since long time kya ho raha hai,0.99999857,High
facing buffering issue yaar,1.97E-06,Low
internet very slow not resolved yet yaar,2.39E-06,Low
speed is low since morning,1.92E-06,Low
net slow,2.08E-06,Low
buffering trouble pls fix since long time kya ho raha hai,1.91E-06,Low
internet gone again kya ho raha hai,0.99999857,High
router not working not resolved yet,1.98E-06,Low
please check still wifi down kya ho raha hai,0.99999845,High
buffering issue from last night bhai,1.91E-06,Low
facing wifi down bhai,0.99999857,High
facing buffering problem kya ho raha hai,1.96E-06,Low
please check still net lagging,2.87E-06,Low
unstable connection not resolved yet,2.02E-06,Low
unstable connection since morning since long time bhai,1.98E-06,Low
buffering trouble since long time,1.91E-06,Low
net slow yaar,2.08E-06,Low
having unstable connection continuously,2.06E-06,Low
please check buffering trouble not resolved yet bhai,2.02E-06,Low
router problem not resolved yet since long time kya ho raha hai,1.91E-06,Low
facing disconnecting again and again yaar,1.95E-06,Low
unstable connection pls fix yaar,2.08E-06,Low
having buffering problem continuously bhai,1.97E-06,Low
internet not running from last night since long time yaar,0.99999857,High
net not working again since long time bhai,0.99999845,High
facing speed is low yaar,1.97E-06,Low
ping too high not resolved yet bhai,1.92E-06,Low
delay in response again bhai,1.92E-06,Low
please check ping too high,2.00E-06,Low
still packet loss happening since long time,1.97E-06,Low
having ping too high continuously bhai,1.96E-06,Low
cannot access sites since morning yaar,1.91E-06,Low
wifi down not resolved yet yaar,0.99999857,High
disconnecting again and again since morning,1.90E-06,Low
connection gone pls fix kya masla hai,0.99999857,High
data loss issue from last night yaar,1.93E-06,Low
router problem not resolved yet yaar,1.91E-06,Low
speed is low since morning since long time bhai,1.92E-06,Low
please check cannot access sites not resolved yet,2.01E-06,Low
packet loss happening from last night yaar,1.91E-06,Low
please check unstable connection bhai,2.24E-06,Low
net too slow since morning since long time,2.01E-06,Low
internet not functioning not resolved yet kya ho raha hai,0.99999857,High
packet loss happening again since long time,1.91E-06,Low
please check unstable connection not resolved yet bhai,2.31E-06,Low
wifi not working from last night yaar,0.99999857,High
wifi not working since morning since long time yaar,0.99999857,High
wifi down since morning kya ho raha hai,0.99999857,High
connection gone what is this yaar,0.99999857,High
net lagging pls fix bhai,2.77E-06,Low
please check unstable connection again,2.22E-06,Low
internet not working pls fix yaar,0.99999857,High
keeps dropping what is this,1.91E-06,Low
wifi down from last night kya masla hai,0.99999857,High
having wifi down continuously kya masla hai,0.99999857,High
router not running again bhai,1.92E-06,Low
please check internet gone pls fix yaar,0.99999845,High
speed is low since morning since long time,1.92E-06,Low
having data loss issue continuously kya ho raha hai,1.97E-06,Low
dns not resolving pls fix yaar,1.95E-06,Low
internet very slow what is this since long time,2.29E-06,Low
delay in response what is this since long time kya ho raha hai,1.92E-06,Low
please check connection gone,0.99999845,High
please check internet gone from last night kya ho raha hai,0.99999845,High
internet very lagging again bhai,2.76E-06,Low
having keeps dropping continuously since long time yaar,1.95E-06,Low
keeps dropping pls fix,1.92E-06,Low
facing wifi very slow since long time kya ho raha hai,2.88E-06,Low
still router not running kya ho raha hai,2.02E-06,Low
please check still buffering issue,2.09E-06,Low
facing packet loss happening yaar,1.96E-06,Low
facing data loss issue,1.97E-06,Low
lag trouble pls fix since long time bhai,1.90E-06,Low
packet loss happening what is this since long time yaar,1.92E-06,Low
unstable connection not resolved yet since long time,2.01E-06,Low
please check lag issue not resolved yet yaar,2.01E-06,Low
please check unstable connection what is this,2.22E-06,Low
packet loss happening what is this since long time bhai,1.92E-06,Low
cannot access sites from last night since long time,1.91E-06,Low
keeps dropping not resolved yet since long time yaar,1.91E-06,Low
still internet very slow,2.39E-06,Low
still router problem since long time yaar,1.96E-06,Low
no connection pls fix kya masla hai,0.99999857,High
disconnecting again and again since morning bhai,1.90E-06,Low
speed is low kya masla hai,1.93E-06,Low
